Code,GMPE,Year,TectonicRegion,RequiresDistances,RequiresRupture,RequiresSites,DefinedForIMTs,DefinedForStdDevs,Shortcut,Description
AbrahamsonEtAl2014,AbrahamsonEtAl2014,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014,"Implements GMPE by Abrahamson, Silva and Kamai developed within the the PEER West 2 Project. This GMPE is described in a paper published in 2014 on Earthquake Spectra, Volume 30, Number 3 and titled 'Summary of the ASK14 Ground Motion Relation for Active Crustal Regions'."
AbrahamsonEtAl2014NSHMPLower,AbrahamsonEtAl2014NSHMPLower,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014NSHMPLower,
AbrahamsonEtAl2014NSHMPMean,AbrahamsonEtAl2014NSHMPMean,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014NSHMPMean,
AbrahamsonEtAl2014NSHMPUpper,AbrahamsonEtAl2014NSHMPUpper,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014NSHMPUpper,
AbrahamsonEtAl2014RegCHN,AbrahamsonEtAl2014RegCHN,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014RegCHN,
AbrahamsonEtAl2014RegJPN,AbrahamsonEtAl2014RegJPN,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014RegJPN,
AbrahamsonEtAl2014RegTWN,AbrahamsonEtAl2014RegTWN,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014RegTWN,
AbrahamsonEtAl2015SInter,AbrahamsonEtAl2015SInter,2015,Subduction Interface,rrup,mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SInter,"Implements the Subduction GMPE developed by Norman Abrahamson, Nicholas Gregor and Kofi Addo, otherwise known as the ""BC Hydro"" Model, published as ""BC Hydro Ground Motion Prediction Equations For Subduction Earthquakes (2015, Earthquake Spectra, in press), for subduction interface events."
AbrahamsonEtAl2015SInterHigh,AbrahamsonEtAl2015SInterHigh,2015,Subduction Interface,rrup,mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SInterHigh,"Defines the Abrahamson et al. (2013) scaling relation  assuming the upper values of the magnitude scaling for large slab earthquakes, as defined in table 4"
AbrahamsonEtAl2015SInterLow,AbrahamsonEtAl2015SInterLow,2015,Subduction Interface,rrup,mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SInterLow,"Defines the Abrahamson et al. (2013) scaling relation  assuming the lower values of the magnitude scaling for large slab earthquakes, as defined in table 4"
AbrahamsonEtAl2015SInter_scaled,AbrahamsonEtAl2015SInter_scaled,2015,Subduction Interface,rrup,mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SInter_scaled,"Implements the Subduction GMPE developed by Norman Abrahamson, Nicholas Gregor and Kofi Addo, otherwise known as the ""BC Hydro"" Model, published as ""BC Hydro Ground Motion Prediction Equations For Subduction Earthquakes (2015, Earthquake Spectra, in press), for subduction interface events."
AbrahamsonEtAl2015SSlab,AbrahamsonEtAl2015SSlab,2015,Subduction IntraSlab,rhypo,hypo_depth mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SSlab,"Implements the Subduction GMPE developed by Norman Abrahamson, Nicholas Gregor and Kofi Addo, otherwise known as the ""BC Hydro"" Model, published as ""BC Hydro Ground Motion Prediction Equations For Subduction Earthquakes (2013, Earthquake Spectra, in press). This implements only the inslab GMPE. For inslab events the source is considered to be a point source located at the hypocentre. Therefore the hypocentral distance metric is used in place of the rupture distance, and the hypocentral depth is used to scale the ground motion by depth"
AbrahamsonEtAl2015SSlabHigh,AbrahamsonEtAl2015SSlabHigh,2015,Subduction IntraSlab,rhypo,hypo_depth mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SSlabHigh,"Defines the Abrahamson et al. (2013) scaling relation  assuming the upper values of the magnitude scaling for large slab earthquakes, as defined in table 8"
AbrahamsonEtAl2015SSlabLow,AbrahamsonEtAl2015SSlabLow,2015,Subduction IntraSlab,rhypo,hypo_depth mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SSlabLow,"Defines the Abrahamson et al. (2013) scaling relation  assuming the lower values of the magnitude scaling for large slab earthquakes, as defined in table 8"
AbrahamsonEtAl2015SSlab_scaled,AbrahamsonEtAl2015SSlab_scaled,2015,Subduction IntraSlab,rhypo,hypo_depth mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SSlab_scaled,"Implements the Subduction GMPE developed by Norman Abrahamson, Nicholas Gregor and Kofi Addo, otherwise known as the ""BC Hydro"" Model, published as ""BC Hydro Ground Motion Prediction Equations For Subduction Earthquakes (2013, Earthquake Spectra, in press). This implements only the inslab GMPE. For inslab events the source is considered to be a point source located at the hypocentre. Therefore the hypocentral distance metric is used in place of the rupture distance, and the hypocentral depth is used to scale the ground motion by depth"
AbrahamsonEtAl2018SInter,AbrahamsonEtAl2018SInter,2018,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,Ab2018SInter,"Implements the 2018 updated Abrahamson et al. (2018) ""BC Hydro"" GMPE for application to subduction earthquakes, for the case of subduction interface events."
AbrahamsonEtAl2018SInterHigh,AbrahamsonEtAl2018SInterHigh,2018,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,Ab2018SInterHigh,Abrahamson et al (2018) subduction interface GMPE with the positive epistemic adjustment factor applied
AbrahamsonEtAl2018SInterLow,AbrahamsonEtAl2018SInterLow,2018,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,Ab2018SInterLow,Abrahamson et al (2018) subduction interface GMPE with the negative epistemic adjustment factor applied
AbrahamsonEtAl2018SSlab,AbrahamsonEtAl2018SSlab,2018,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,Ab2018SSlab,"Abrahamson et al. (2018) updated ""BC Hydro"" subduction GMPE for application to subduction in-slab earthquakes."
AbrahamsonEtAl2018SSlabHigh,AbrahamsonEtAl2018SSlabHigh,2018,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,Ab2018SSlabHigh,Abrahamson et al (2018) subduction in-slab GMPE with the positive epistemic adjustment factor applied
AbrahamsonEtAl2018SSlabLow,AbrahamsonEtAl2018SSlabLow,2018,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,Ab2018SSlabLow,Abrahamson et al (2018) subduction in-slab GMPE with the negative epistemic adjustment factor applied
AbrahamsonGulerce2020SInter,AbrahamsonGulerce2020SInter,2020,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,AG2020SInter,Implements the 2020 Subduction ground motion model of Abrahamson & Gulerce (2020):
AbrahamsonGulerce2020SInterAlaska,AbrahamsonGulerce2020SInterAlaska,2020,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,AG2020SInterAlaska,
AbrahamsonGulerce2020SInterCascadia,AbrahamsonGulerce2020SInterCascadia,2020,Subduction Interface,rrup,mag,vs30 z2pt5,PGA SA,Inter event Intra event Total,AG2020SInterCascadia,
AbrahamsonGulerce2020SInterCentralAmericaMexico,AbrahamsonGulerce2020SInterCentralAmericaMexico,2020,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,AG2020SInterCentralAmericaMexico,
AbrahamsonGulerce2020SInterJapan,AbrahamsonGulerce2020SInterJapan,2020,Subduction Interface,rrup,mag,vs30 z2pt5,PGA SA,Inter event Intra event Total,AG2020SInterJapan,
AbrahamsonGulerce2020SInterNewZealand,AbrahamsonGulerce2020SInterNewZealand,2020,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,AG2020SInterNewZealand,
AbrahamsonGulerce2020SInterSouthAmerica,AbrahamsonGulerce2020SInterSouthAmerica,2020,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,AG2020SInterSouthAmerica,
AbrahamsonGulerce2020SInterTaiwan,AbrahamsonGulerce2020SInterTaiwan,2020,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,AG2020SInterTaiwan,
AbrahamsonGulerce2020SSlab,AbrahamsonGulerce2020SSlab,2020,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,AG2020SSlab,Implements the 2020 Subduction ground motion model of Abrahamson & Gulerce (2020) for subduction in-slab earthquakes
AbrahamsonGulerce2020SSlabAlaska,AbrahamsonGulerce2020SSlabAlaska,2020,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,AG2020SSlabAlaska,
AbrahamsonGulerce2020SSlabCascadia,AbrahamsonGulerce2020SSlabCascadia,2020,Subduction IntraSlab,rrup,mag ztor,vs30 z2pt5,PGA SA,Inter event Intra event Total,AG2020SSlabCascadia,
AbrahamsonGulerce2020SSlabCentralAmericaMexico,AbrahamsonGulerce2020SSlabCentralAmericaMexico,2020,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,AG2020SSlabCentralAmericaMexico,
AbrahamsonGulerce2020SSlabJapan,AbrahamsonGulerce2020SSlabJapan,2020,Subduction IntraSlab,rrup,mag ztor,vs30 z2pt5,PGA SA,Inter event Intra event Total,AG2020SSlabJapan,
AbrahamsonGulerce2020SSlabNewZealand,AbrahamsonGulerce2020SSlabNewZealand,2020,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,AG2020SSlabNewZealand,
AbrahamsonGulerce2020SSlabSouthAmerica,AbrahamsonGulerce2020SSlabSouthAmerica,2020,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,AG2020SSlabSouthAmerica,
AbrahamsonGulerce2020SSlabTaiwan,AbrahamsonGulerce2020SSlabTaiwan,2020,Subduction IntraSlab,rrup,mag ztor,vs30,PGA SA,Inter event Intra event Total,AG2020SSlabTaiwan,
AbrahamsonSilva1997,AbrahamsonSilva1997,1997,Active Shallow Crust,rrup,mag rake,vs30,PGA SA,Total,AS1997,"Implements GMPE developed by N. A. Abrahamson and W. J. Silva and published as ""Empirical Response Spectral Attenuation Relations for Shallow Crustal Earthquakes"", Seismological Research Letters, v.68, no. 1, p. 94-127, 1997."
AbrahamsonSilva1997Vertical,AbrahamsonSilva1997Vertical,1997,Active Shallow Crust,rrup,mag rake,vs30,PGA SA,Total,AS1997Vertical,
AbrahamsonSilva2008,AbrahamsonSilva2008,2008,Active Shallow Crust,rjb rrup rx,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,AS2008,"Implements GMPE developed by Norman Abrahamson and Walter Silva and published as ""Summary of the Abrahamson & Silva NGA Ground-Motion Relations"" (2008, Earthquakes Spectra, Volume 24, Number 1, pages 67-97). This class implements only the equations for mainshock/foreshocks/swarms type events, that is the aftershock term (4th term in equation 1, page 74) is set to zero. The constant displacement model (page 80) is also not implemented (that is equation 1, page 74 is used for all periods and no correction is applied for periods greater than the constant displacement period). This class implements also the corrections (for standard deviation and hanging wall term calculation) as described in: http://peer.berkeley.edu/products/abrahamson-silva_nga_report_files/ AS08_NGA_errata.pdf"
AfshariStewart2016,AfshariStewart2016,2016,Active Shallow Crust,rrup,mag rake,vs30 z1pt0,RSD2080 RSD575 RSD595,Inter event Intra event Total,AS2016,"Implements the GMPE of Afshari & Stewart (2016) for relative significant duration for 5 - 75 %, 5 - 95 % and 20 - 80 % Arias Intensity."
AfshariStewart2016Japan,AfshariStewart2016Japan,2016,Active Shallow Crust,rrup,mag rake,vs30 z1pt0,RSD2080 RSD575 RSD595,Inter event Intra event Total,AS2016Japan,Adaption of the Afshari & Stewart (2016) GMPE for relative significant duration for the case when the Japan basin model is preferred
AkkarBommer2010,AkkarBommer2010,2010,Active Shallow Crust,rjb,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,AB2010,"Implements GMPE developed by Sinan Akkar and Julian J. Bommer and published as ""Empirical Equations for the Prediction of PGA, PGV, and Spectral Accelerations in Europe, the Mediterranean Region, and the Middle East"", Seismological Research Letters, 81(2), 195-206. SA at 4 s (not supported by the original equations) has been added in the context of the SHARE project and assumed to be equal to SA at 3 s but scaled with proper factor. Equation coefficients for PGA and SA periods up to 0.05 seconds have been taken from updated model as described in 'Extending ground-motion prediction equations for spectral accelerations to higher response frequencies',Julian J. Bommer, Sinan Akkar, Stephane Drouet, Bull. Earthquake Eng. (2012) volume 10, pages 379 - 399. Coefficients for PGV and SA above 0.05 seconds are taken from the original 2010 publication."
AkkarBommer2010SWISS01,AkkarBommer2010SWISS01,2010,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,AB2010SWISS01,This class extends :class:`AkkarBommer2010` adjusted to be used for the Swiss Hazard Model [2014]. This GMPE is valid for a fixed value of vs30=600m/s
AkkarBommer2010SWISS04,AkkarBommer2010SWISS04,2010,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,AB2010SWISS04,This class extends :class:`AkkarBommer2010` following same strategy as for :class:`AkkarBommer2010SWISS01`
AkkarBommer2010SWISS08,AkkarBommer2010SWISS08,2010,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,AB2010SWISS08,This class extends :class:`AkkarBommer2010` following same strategy as for :class:`AkkarBommer2010SWISS01` to be used for the Swiss Hazard Model [2014].
AkkarCagnan2010,AkkarCagnan2010,2010,Active Shallow Crust,rjb,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,AC2010,"Implements GMPE developed by Sinnan Akkar and Zehra Cagnan and published as ""A Local Ground-Motion Predictive Model for Turkey, and Its Comparison with Other Regional and Global Ground-Motion Models"" (2010, Bulletin of the Seismological Society of America, Volume 100, No. 6, pages 2978-2995). It uses the same site response function used in Boore and Atkinson 2008."
AkkarEtAl2013,AkkarEtAl2013,2013,Active Shallow Crust,rjb,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,Ak2013,"To ensure backwards compatibility with existing seismic hazard models, the call AkkarEtAl2013 is retained as legacy. The AkkarEtAl2013 GMPE is now implemented as AkkarEtAlRjb2014"
AkkarEtAlRepi2014,AkkarEtAlRepi2014,2014,Active Shallow Crust,repi,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,Ak2014,"Implements GMPE developed by S. Akkar, M. A. Sandikkaya, and J. J. Bommer as published in ""Empirical Ground-Motion Models for Point- and Extended- Source Crustal Earthquake Scenarios in Europe and the Middle East"", Bullettin of Earthquake Engineering (2014)."
AkkarEtAlRhyp2014,AkkarEtAlRhyp2014,2014,Active Shallow Crust,rhypo,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,Ak2014,"Implements GMPE developed by S. Akkar, M. A. Sandikkaya, and J. J. Bommer as published in ""Empirical Ground-Motion Models for Point- and Extended- Source Crustal Earthquake Scenarios in Europe and the Middle East"", Bullettin of Earthquake Engineering (2014)."
AkkarEtAlRjb2014,AkkarEtAlRjb2014,2014,Active Shallow Crust,rjb,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,Ak2014,"Implements GMPE developed by S. Akkar, M. A. Sandikkaya, and J. J. Bommer as published in ""Empirical Ground-Motion Models for Point- and Extended- Source Crustal Earthquake Scenarios in Europe and the Middle East"", Bulletin of Earthquake Engineering (2014), 12(1): 359 - 387 The class implements the equations for Joyner-Boore distance and based on manuscript provided by the original authors."
AkkarEtAlRjb2014Armenia,AkkarEtAlRjb2014Armenia,2014,Active Shallow Crust,rjb,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,Ak2014Armenia,Adjustment of Akkar et al based on Armenian data
AlAtikSigmaModel,AlAtikSigmaModel,0,—,,,,,,,
AlNomanCramer2015NGAEast,AlNomanCramer2015NGAEast,2015,Active Shallow Crust,rrup,mag,vs30,PGA PGV SA,Inter event Intra event Total,ANC2015NGAEast,
AlNomanCramer2015NGAEastTotalSigma,AlNomanCramer2015NGAEastTotalSigma,2015,Active Shallow Crust,rrup,mag,vs30,PGA PGV SA,Total,ANC2015NGAEastTotalSigma,
Allen2012,Allen2012,2012,Stable Shallow Crust,rrup,hypo_depth mag,,PGA SA,Total,A2012,"Implements GMPE developed by T. Allen and published as ""Stochastic ground- motion prediction equations for southeastern Australian earthquakes using updated source and attenuation parameters"", 2012, Geoscience Australia Record 2012/69. Document available at: https://www.ga.gov.au/products/servlet/controller?event=GEOCAT_DETAILS&catno=74133"
Allen2012_SS14,Allen2012_SS14,2012,Stable Shallow Crust,rrup,hypo_depth mag,vs30,PGA SA,Total,A2012_SS14,Allen2012 Model updated to apply the linear and non-linear amplification factors of Sayhan & Stewart (2014) as applied in the Boore et al (2014) NGE-West 2 GMM
Allen2022,Allen2022,2022,Subduction IntraSlab,rhypo,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,A2022,"Implements GMPE developed by Allen and published as ""Allen, T. I. (2022). A farfield groundmotion model for the North Australian Craton from platemargin earthquakes, Bull. Seismol. Soc. Am., doi: 10.1785/0120210191."
AllenEtAl2012,AllenEtAl2012,2012,Active Shallow Crust,rrup,mag,,MMI,Total,Al2012,"Implements the Intensity Prediction Equation of Allen, Wald and Worden (2012) for Modified Mercalli Intensity in Active Crustal Regions Allen, T. I., Wald, D. J. and Worden, C. B. (2012) Intensity attenuation in active crustal regions, J. Seismology, 16: 409 - 433"
AllenEtAl2012Rhypo,AllenEtAl2012Rhypo,2012,Active Shallow Crust,rhypo,mag,,MMI,Total,Al2012Rhypo,"Version of the Allen, Wald and Worden (2012) GSIM for hypocentral distance"
AmbraseysEtAl1996,AmbraseysEtAl1996,1996,Active Shallow Crust,repi,mag rake,vs30,PGA SA,Total,Am1996,"Implements GMPE developed by Ambraseys, N. N., Simpson, K. U., & Bommer, J. J. (1996). Prediction of horizontal response spectra in Europe. Earthquake Engineering & Structural Dynamics, 25(4), 371-400. SA are given up to 2 s. The regressions are developed considering the largest horizontal component GMPE implemented as adopted in MPS04 (Montaldo et al 2005). In this implementation, a convertion function from Mw to Ms is included to be consistent with the other gsims in OQ."
AmbraseysEtAl2005,AmbraseysEtAl2005,2005,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,Am2005,"Implements the horizontal PGA and SA GMPE of ""N.N. AMBRASEYS1, J. DOUGLAS1, S.K. SARMA and P.M. SMIT (2005): Equations for the Estimation of Strong Ground Motions from Shallow Crustal Earthquakes Using Data from Europe and the Middle East: Horizontal Peak Ground Acceleration and Spectral Acceleration, Bulletin of Earthquake Engineering: 3:1–53, DOI 10.1007/s10518-005-0183-0."
AmbraseysEtAl2005Vertical,AmbraseysEtAl2005Vertical,2005,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,Am2005Vertical,"Implements the vertical PGA and SA GMPE of ""N.N. AMBRASEYS1, J. DOUGLAS1, S.K. SARMA and P.M. SMIT (2005): Equations for the Estimation of Strong Ground Motions from Shallow Crustal Earthquakes Using Data from Europe and the Middle East: Vertical Peak Ground Acceleration and Spectral Acceleration, Bulletin of Earthquake Engineering: 3:55–73, DOI 10.1007/s10518-005-0186-x."
Ameri2014Rjb,Ameri2014Rjb,2014,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,A2014Rjb,"Implementation of Ameri (2014), an early version of the Ameri et al. (2017) GMM published in:"
AmeriEtAl2017Repi,AmeriEtAl2017Repi,2017,Active Shallow Crust,repi,mag rake,vs30,PGA SA,Inter event Intra event Total,Am2017Repi,Implements the Ameri et al (2017) GMPE for the case where epicentral distance is used. Standard deviation uses the heteroscedastic formulation given in eqn. 11. (for periods T<=1 s.)
AmeriEtAl2017RepiStressDrop,AmeriEtAl2017RepiStressDrop,2017,Active Shallow Crust,repi,mag rake,vs30,PGA SA,Inter event Intra event Total,Am2017RepiStressDrop,"Implements the Ameri et al (2017) GMPE for the case where epicentral distance is used, and the stress parameter is specified in the Ground-motion logic-tree. Example specification of the normalized stress parameter::"
AmeriEtAl2017Rjb,AmeriEtAl2017Rjb,2017,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,Am2017Rjb,Implements the Ameri et al (2017) GMPE for the case where Joyner-Boore distance is used. Standard deviation uses the heteroscedastic formulation given in eqn. 11. (for periods T<=1 s.)
AmeriEtAl2017RjbStressDrop,AmeriEtAl2017RjbStressDrop,2017,Active Shallow Crust,rjb,mag rake,vs30,PGA SA,Inter event Intra event Total,Am2017RjbStressDrop,"Implements the Ameri et al (2017) GMPE for the case where Joyner-Boore distance is used, and the stress parameter is specified in the Ground-motion logic-tree. Example specification of the normalizaed stress parameter::"
AristeidouEtAl2023,AristeidouEtAl2023,2023,Active Shallow Crust,rrup,mag rake,vs30 z2pt5,SDI,Inter event Intra event Total,Ar2023,"Implements a ground motion model developed by Savvinos Aristeidou, Karim Tarbali, and Gerard J. O'Reilly, published as ""A ground motion model for orientation-independent inelastic spectral displacements from shallow crustal earthquakes"" (2023, Earthquake Spectra, Volume 39, Number 3, pages 1601 - 1624)."
AristeidouEtAl2023RotD100,AristeidouEtAl2023RotD100,2023,Active Shallow Crust,rrup,mag rake,vs30 z2pt5,SDI,Inter event Intra event Total,Ar2023RotD100,"Implements the Aristeidou, Tarbali, and O'Reilly (2023) GMM for the RotD100 horizontal component definition"
AristeidouEtAl2024,AristeidouEtAl2024,2024,Active Shallow Crust,rjb rrup rx,hypo_depth mag rake ztor,vs30 z2pt5,PGA PGD PGV SA SA_AVG2 SA_AVG3,Inter event Intra event Total,Ar2024,"Aristeidou, S., Shahnazaryan, D. and O’Reilly, G.J. (2024) ‘Artificial neural network-based ground motion model for next-generation seismic intensity measures’, Soil Dynamics and Earthquake Engineering, 184, 108851. Available at: https://doi.org/10.1016/j.soildyn.2024.108851."
AristeidouEtAl2024Geomean,AristeidouEtAl2024Geomean,2024,Active Shallow Crust,rjb rrup rx,hypo_depth mag rake ztor,vs30 z2pt5,FIV3 RSD575 RSD595 SA SA_AVG2 SA_AVG3,Inter event Intra event Total,Ar2024Geomean,
AristeidouEtAl2024RotD100,AristeidouEtAl2024RotD100,2024,Active Shallow Crust,rjb rrup rx,hypo_depth mag rake ztor,vs30 z2pt5,SA SA_AVG2 SA_AVG3,Inter event Intra event Total,Ar2024RotD100,
ArroyoEtAl2010SInter,ArroyoEtAl2010SInter,2010,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,Ar2010SInter,Implements GMPE developed by Arroyo et al. (2010) for Mexican subduction interface events and published as:
ArtetaEtAl2021Inter,ArtetaEtAl2021Inter,2021,Subduction Interface,rrup,mag,PHV THV,PGA SA,Inter event Intra event Total,Ar2021Inter,"Implements the model of Arteta et al (2021) as described in ""Ground-motion model for subduction earthquakes in northern South America"" by Arteta et al. (2021) - Earthquake Spectra, https://doi.org/10.1177/87552930211027585"
ArtetaEtAl2021InterVs30,ArtetaEtAl2021InterVs30,2021,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,Ar2021InterVs30,"Implements the model of Arteta et al (2021) as described in ""Ground-motion model for subduction earthquakes in northern South America"" by Arteta et al. (2021) - Earthquake Spectra, https://doi.org/10.1177/87552930211027585"
ArtetaEtAl2021Slab,ArtetaEtAl2021Slab,2021,Subduction IntraSlab,rhypo,mag,PHV THV backarc,PGA SA,Inter event Intra event Total,Ar2021Slab,"Implements the model of Arteta et al (2021) as described in ""Ground-motion model for subduction earthquakes in northern South America"" by Arteta et al. (2021) - Earthquake Spectra, https://doi.org/10.1177/87552930211027585"
ArtetaEtAl2021SlabVs30,ArtetaEtAl2021SlabVs30,2021,Subduction IntraSlab,rhypo,mag,backarc,PGA SA,Inter event Intra event Total,Ar2021SlabVs30,"Implements the model of Arteta et al (2021) as described in ""Ground-motion model for subduction earthquakes in northern South America"" by Arteta et al. (2021) - Earthquake Spectra, https://doi.org/10.1177/87552930211027585"
ArtetaEtAl2023,ArtetaEtAl2023,2023,Active Shallow Crust,rhypo rvolc,hypo_depth mag,PHV THV,PGA SA,Inter event Intra event Total,Ar2023,"Implements the model of Arteta et al (2021) as described in ""Ground‐Motion Model (GMM) for Crustal Earthquakes in Northern South America (NoSAm Crustal GMM)"" published on the Bulletin of the Seismological Society of America 2023 ( doi: https://doi.org/10.1785/0120220168) by Carlos A. Arteta, Cesar A. Pajaro, Vicente Mercado, Julián Montejo, Mónica Arcila, Norman A. Abrahamson; Soil term depends of natural perod and peak value of HVRSR spectra"
ArtetaEtAl2023_Vs30,ArtetaEtAl2023_Vs30,2023,Active Shallow Crust,rhypo rvolc,hypo_depth mag,vs30,PGA SA,Inter event Intra event Total,Ar2023_Vs30,"Implements the model of Arteta et al (2021) as described in ""Ground‐Motion Model (GMM) for Crustal Earthquakes in Northern South America (NoSAm Crustal GMM)"" published on the Bulletin of the Seismological Society of America 2023 ( doi: https://doi.org/10.1785/0120220168) by Carlos A. Arteta, Cesar A. Pajaro, Vicente Mercado, Julián Montejo, Mónica Arcila, Norman A. Abrahamson; Soil term is associated with Vs30 using the simplification given in terms of natural period of HVRSR and mean value of P*"
Atkinson2008prime,Atkinson2008prime,2008,Stable Shallow Crust,rjb,mag rake,vs30,PGA PGV SA,Inter event Intra event Total,A2008prime,Implements the Boore & Atkinson (2011) adjustment to the Atkinson (2008) GMPE (not itself implemented in OpenQuake)
Atkinson2010Hawaii,Atkinson2010Hawaii,2010,Volcanic,rjb,hypo_depth mag rake,vs30,PGA PGV SA,Total,A2010Hawaii,"Modification of the original base class adjusted for application to the Hawaii region as described in: Atkinson, G. M. (2010) 'Ground-Motion Prediction Equations for Hawaii from a Referenced Empirical Approach"", Bulletin of the Seismological Society of America, Vol. 100, No. 2, pp. 751–761"
Atkinson2015,Atkinson2015,2015,Induced,rhypo,mag,,PGA PGV SA,Inter event Intra event Total,A2015,"Implements the Induced Seismicity GMPE of Atkinson (2015) Atkinson, G. A. (2015) Ground-Motion Prediction Equation for Small-to- Moderate Events at Short Hypocentral Distances, with Application to Induced-Seismicity Hazards. Bulletin of the Seismological Society of America. 105(2)."
Atkinson2015AltDistSat,Atkinson2015AltDistSat,2015,Induced,rhypo,mag,,PGA PGV SA,Inter event Intra event Total,A2015AltDistSat,"This class implements the alternative effective depth term provided on page 986 of Atkinson (2015) for the use of stronger distance-saturation effects than implemented within the default model. It should be noted that this class uses the coefficients obtained using the Yenier and Atkinson (2014) effective depth term i.e. those used within the base gsim class too, with modification only to the effective depth term"
Atkinson2022Crust,Atkinson2022Crust,2022,Active Shallow Crust,rrup,mag,vs30,PGA SA,Inter event Intra event Total,A2022Crust,Implements Atkinson (2022) backbone model for New Zealand. For more info please refere to Gail Atkinson's NSHM report and linked revisions.
Atkinson2022SInter,Atkinson2022SInter,2022,Subduction Interface,rrup,mag,vs30,PGA SA,Inter event Intra event Total,A2022SInter,Atkinson 2022 for Subduction Interface in NZ.
Atkinson2022SSlab,Atkinson2022SSlab,2022,Subduction IntraSlab,rrup,mag,backarc vs30,PGA SA,Inter event Intra event Total,A2022SSlab,Atkinson (2022) for Subduction IntraSlab in NZ.
